frame_id,target_id,class_name,x1,y1,x2,y2,bbox_height_px,depth_score,distance_m
28,233,car,885.0,477.75,965.35,542.18,64.43,0.1947,12.46
28,234,car,1493.8,447.4,1599.0,508.48,61.07,0.2057,14.16
28,235,car,1034.62,469.75,1099.56,542.92,73.17,0.2112,17.3
28,236,car,743.29,479.55,783.9,510.49,30.94,0.1368,23.88
28,237,car,1008.21,474.64,1051.83,535.27,60.62,0.201,23.93
28,238,car,669.01,478.37,715.42,524.94,46.58,0.1662,26.98
28,239,car,861.2,478.04,887.02,503.69,25.64,0.1318,29.58
29,240,car,1113.75,486.48,1251.79,583.75,97.28,0.3064,27.11
29,241,car,879.19,485.88,954.79,547.68,61.8,0.1831,25.06
29,242,car,743.64,487.89,782.66,519.36,31.47,0.1265,22.28
29,243,car,659.5,486.42,707.03,535.02,48.6,0.1601,26.38
29,244,car,855.3,487.87,885.24,512.39,24.52,0.1263,36.0
29,245,car,795.26,488.55,826.38,506.7,18.15,0.1109,45.13
29,246,car,956.0,487.76,990.49,521.79,34.04,0.1708,48.48
29,247,car,1055.5,479.63,1153.39,564.34,84.71,0.2586,37.1
29,248,car,991.69,483.1,1037.26,540.3,57.2,0.203,22.31
29,249,car,1048.61,479.94,1122.25,559.91,79.97,0.2462,15.75
29,250,car,735.83,489.8,782.42,523.43,33.63,0.1321,22.83
29,251,car,1000.04,484.47,1047.56,540.86,56.39,0.206,22.92
29,252,car,1453.17,460.39,1524.37,517.68,57.29,0.3227,24.65
29,253,car,1341.46,476.2,1402.2,527.26,51.06,0.3008,20.39
30,254,car,871.41,489.83,942.71,547.4,57.58,0.1951,20.27
30,255,car,1152.15,490.4,1323.08,606.46,116.07,0.3109,17.03
30,256,car,633.77,487.65,696.39,539.24,51.59,0.1864,17.18
30,257,car,1099.24,483.19,1216.06,582.1,98.91,0.273,14.34
30,258,car,1363.62,467.88,1480.49,540.45,72.56,0.2464,16.33
30,259,car,739.52,489.66,786.44,525.52,35.86,0.1525,19.67
30,260,car,1037.38,484.41,1102.68,560.23,75.82,0.2359,20.87
30,261,car,962.05,492.72,990.74,526.63,33.91,0.1779,26.96
30,262,car,1400.7,482.41,1479.58,540.49,58.08,0.2492,22.69
30,263,car,932.65,485.89,977.79,522.92,37.03,0.1663,28.08
30,264,car,1070.79,482.64,1146.7,572.22,89.58,0.2546,20.99
30,265,car,793.41,488.54,821.94,507.66,19.12,0.1296,34.78
31,266,car,1208.73,478.59,1434.81,625.2,146.61,0.4172,26.87
31,267,car,1425.07,449.71,1560.0,534.17,84.45,0.3573,27.0
31,268,car,866.05,478.29,932.12,531.75,53.47,0.1645,13.93
31,269,car,1101.84,471.09,1268.89,583.1,112.02,0.325,14.77
